additives_tags,brands,carbohydrates_100g,categories,countries,ecoscore_grade,energy_100g,fat_100g,fiber_100g,ingredients_text,labels,manufacturing_places,nutriscore_grade,origins,packaging,packaging_tags,product_name,proteins_100g,salt_100g,saturated-fat_100g,stores,sugars_100g
"['en:e150d', 'en:e338', 'en:e950', 'en:e952', 'en:e960c']",Coca-Cola,0.0,"Bebidas,Bebidas carbonatadas,Bebidas endulzadas artificialmente,Sodas,Bebidas light,Bebidas de cola,Sodas light,Bebida de cola light","Austria,Bélgica,Francia,Alemania,Guernsey,Hungría,Italia,Marruecos,Rumania,Serbia,España,Suiza,Túnez,Reino Unido",not-applicable,0.9,0.0,,"Agua carbonatada, colorante E-150d, acidulante E-338, edulcorante: E952, E950, asparíamos, E-960c, aromas naturales, aroma cafeína y corrector de acidez E-331.","Triman,en:01-pet,en:Cce,en:Contiene-una-fuente-de-fenilalanina","Sweden Séverin,Sverige,Sweden",b,,"NUTRITIONNELLE 10d 250ml (2) Basse Faster ables de matières as saturés, protéines ence par un adulte-type 8888 R 223 Conditionné avec l'autorisation de The Coca-Cola Company. 5 449000 131836 BOUTEILLE PENSEZ ET BOUCHON AU TRI PLASTIQUE A RECYCLER RECYCLEZ-MOI DONNEZ-MOI UNE CHANCE DE REDEVENIR BOUTEILLE! 3 NOUVER GOUT","['en:nutritionnelle-10d-250ml-2-basse-faster-ables-de-matieres-as-satures', 'en:proteines-ence-par-un-adulte-type-8888-r-223-conditionne-avec-l-autorisation-de-the-coca-cola-company-5-449000-131836-bouteille-pensez-et-bouchon-au-tri-plastique-a-recycler-recyclez-moi-donnez-moi-une-chance-de-redevenir-bouteille-3-nouver-gout']",Coca-Cola Zero,0.0,0.02,0.0,,0.0
[],"Nestlé,Ricore",9.1,"Beverages and beverages preparations,Plant-based foods and beverages,Beverages,Plant-based beverages,Beverage preparations,Instant beverages,Instant mix of chicory and coffee powder","Belgium,France,Morocco,Spain,Switzerland",e,577.0,0.5,45.3,"café soluble 33,2%, fibres de chicorée (oligofructose) 33%, chicorée soluble 30%, sulfate de magnésium,","Source of fibre, Sustainable farming, Green Dot, High fibres, Made in France, Magnesium source, Nutriscore, UTZ Certified, Triman, en:nutriscore-grade-a","France,Pontarlier,Villars",e,"France,European Union and Non European Union,India","Metal,Box,Can,Drink can,Steel,fr:Boîte en métal","['en:metal', 'en:box', 'en:can', 'en:drink-can', 'en:steel', 'fr:boite-en-metal']",RICORE Original,2.7,0.23,0.1,"Magasins U,Al Campo (Auchan),Carrefour,Auchan,Delhaize,carrefour.fr",9.1
[],Badoit,0.0,"Boissons, Boissons gazeuses, Eaux, Eaux de sources, Eaux minérales, Boissons sans alcool, Eaux gazeuses, Eaux minérales naturelles, Boissons sans sucre ajouté, Eaux minérales gazeuses",France,not-applicable,0.0,0.0,0.0,eau minérale naturelle avec adjonction de gaz carbonique,,"Source Badoit Bron,42330,Saint Galmier,France",a,France,"Recycler,Bouchon plastique,Bouteille plastique","['en:recycle', 'fr:bouchon-plastique', 'fr:bouteille-plastique']",Eau minérale naturelle finement pétillante,0.0,0.03825,0.0,"Dia,Carrefour,Bi1,carrefour.fr",0.0
"['en:e412', 'en:e415']",Bjorg,1.6,"Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Plant-based milk alternatives, Nut-based drinks, Almond-based drinks, Unsweetened plain almond-based drinks","Belgique,Côte d'Ivoire,France,Polynésie française,Guadeloupe,Martinique,Maroc,Nouvelle-Calédonie,La Réunion,Suisse,Royaume-Uni",b,102.0,1.7,0.5,"Lait d'amandes (eau, amandes 2,8%), amidon de riz, arôme naturel d'amande, sel marin, stabilisants: gomme guar, gomme xanthane","Low or no sugar, Organic, Certified by Ecocert, EU Organic, 100% vegetable, Calcium source, Certified B Corporation, FSC, FSC Mix, IT-BIO-007, Made in Italy, No added sugar, No palm oil, Nutriscore, Nutriscore Grade B, AB Agriculture Biologique, fr:Pauvre en acides gras saturés",Italie,b,Union Européenne et Non Union Européenne,"Tetra Pak,Récipient,en:Brique,en:Brique en carton,en:Frais","['en:tetra-pak', 'en:container', 'en:brique', 'en:brique-en-carton', 'en:frais']",Amande sans sucre,0.7,0.05,0.2,"Magasins U,Intermarché,Auchan,carrefour.fr",0.5
"['en:e322', 'en:e322i']","Nestlé,Nesquik",78.9,"Boissons, Cacao et dérivés, Cacaos et chocolats en poudre, Boissons instantanées, Cacaos en poudre, Chocolats en poudre, Poudre maltée cacaotée","Algérie,Belgique,France,Guyane,Polynésie française,Allemagne,Guadeloupe,Italie,Luxembourg,Martinique,Nouvelle-Calédonie,La Réunion,Espagne,Suisse",c,1634.0,3.6,7.7,"Sucre, cacao maigre en poudre 23%*, émulsifiant : lécithine de SOJA, sel, vitamines : C, D, arôme naturel, cannelle. *Bilan massique certifié Rainforest Alliance www.ra.org/fr","Sans gluten, Sans arômes artificiels, Fabriqué en France, Nutriscore, Nutriscore B, Rainforest Alliance","Pontarlier,Franche-Comté,France",b,"Africa,West Africa","Plastique,Boîte,Opercule en plastique","['en:plastic', 'en:box', 'fr:opercule-en-plastique']",NESQUIK Cacao,5.1,0.41,1.6,"Cora,Magasins U,intermarché,carrefour.fr,E.Leclerc",75.1
"['en:e160c', 'en:e330']","Oasis, Orangina Schweppes France",7.9,"Boissons, en:Aliments-et-boissons-a-base-de-vegetaux, en:Boissons, en:Boissons-a-base-de-vegetaux, en:Boissons-aux-fruits, en:Boissons-avec-sucre-ajoute, Aromatisé, Boisson rafraichissante aux fruits et à l'eau de source","France,en:Belgique,en:La Réunion,en:Suisse",unknown,141.0,0.0,0.0,"water source (80%) 
fruit juice base concentrate (12%) 
orange (6,4%) apple, acerola, passion fruit (0,1%), mango (0,07 per cent) 
sugar (7,1%) for the 
acidifier: citric acid, natural orange flavoring with other natural flavor, 
coloring: paprika extract,","Triman, en:Sans arômes artificiels, en:Sans conservateurs",,e,,"Bouchon plastique,Bouteille plastique,","['en:bouchon-plastique', 'en:bouteille-plastique']",Oasis Tropical,0.1,0.0,0.0,"Intermarché,carrefour.fr,Auchan,Carrefour",7.8
[],Borsec,,"Beverages and beverages preparations, Beverages, Waters, Spring waters, Mineral waters, Natural mineral waters, en:unsweetened-beverages","France,Roumanie,Espagne",not-applicable,,,,water,"Kascher,en:Ambalaj  realizat cu PET reciclat",,a,,,[],"Borsec, regina apelor minerale apă minerală, natura carbogozoasă",,0.015,,,
[],Evian,,"Boissons, Eaux, Eaux de sources, Eaux minérales, Eaux minérales naturelles","Belgien,Frankreich,Luxemburg,Schweiz",not-applicable,,,,Eau minérale naturelle,"Point Vert, Fr:evian, Triman",France,a,Frankreich,Kunststoff,['en:plastic'],Eau minérale naturelle,,0.00165,,"Carrefour,leclerc  hyper U,Supermarchés,Migros",
"['en:e150d', 'en:e338']",Coca-Cola,10.6,"Boissons,Boissons gazeuses,Sodas,Sodas au cola","Belgique,France,Suisse",not-applicable,180.0,0.0,,"Eau gazéifiée ; sucre ;colorant: E150d ; acidifiant : acide phosphorique ; arômes naturels, dont caféine.",,France,e,France,"Bouchon en plastique,Bouteille en plastique","['fr:bouchon-en-plastique', 'fr:bouteille-en-plastique']",Original taste,0.0,0.0,0.0,"Super U,E.Leclerc,Carrefour",10.6
"['en:e150d', 'en:e338']",Coca-Cola,10.6,"İçecekler, Gazlı içecekler, en:Sodas, Kola","Bélgica,Francia,Alemania,España,Reino Unido",not-applicable,180.0,0.0,0.0,"carbonated water, sugar, coloring: e150d, acidifier, phosphoric acid, natural flavourings including caffeine,",,Amérique  USA  Canada  Angleterre,e,en:American,Bouchon et bouteille en plastique à recycler.,['fr:bouchon-et-bouteille-en-plastique-a-recycler'],,0.0,0.0,0.0,"Carrefour,Proxi,Auchan,Aldi",10.6
